Epoch,Train Loss,Validation Loss
1.000000000000000000e+00,8.310309893604275744e-03,2.828094447670760278e-02
2.000000000000000000e+00,1.328613522126343219e-03,2.498292266482523769e-02
3.000000000000000000e+00,5.343547926528735819e-04,2.307213809313800323e-02
4.000000000000000000e+00,5.224588123715098557e-04,2.239794818930985337e-02
5.000000000000000000e+00,2.836797662682906873e-04,2.198934121977300440e-02
6.000000000000000000e+00,2.381758163530955312e-04,2.215909594201994140e-02
7.000000000000000000e+00,1.880327164140772368e-04,2.201538981000125683e-02
8.000000000000000000e+00,1.149213621904880299e-04,2.288580777103026501e-02
9.000000000000000000e+00,1.055256982746483795e-04,2.061140576309601971e-02
1.000000000000000000e+01,1.575788757600943139e-04,2.132304743738096253e-02
1.100000000000000000e+01,1.338938776650187596e-04,1.977398942165332560e-02
1.200000000000000000e+01,1.235968110592837129e-04,1.970211231302670951e-02
1.300000000000000000e+01,1.385679880283430905e-04,2.142997199324799679e-02
1.400000000000000000e+01,9.006980623754274565e-05,2.271349051186595872e-02
1.500000000000000000e+01,3.902766131971803715e-04,2.183594459504592175e-02
1.600000000000000000e+01,3.194053565173183076e-04,2.065116125245991877e-02
1.700000000000000000e+01,2.094860386125249813e-04,2.135440677418099648e-02
1.800000000000000000e+01,1.319199520532188220e-04,1.998976677985446482e-02
1.900000000000000000e+01,9.461119373996078016e-05,2.130895665722360582e-02
2.000000000000000000e+01,5.517555441788525111e-05,1.939545532927606369e-02
2.100000000000000000e+01,8.273089475113622182e-05,1.998451457107234056e-02
2.200000000000000000e+01,6.821424035872444098e-05,2.056195801403601711e-02
2.300000000000000000e+01,4.554947357430582880e-05,2.037215577700978927e-02
2.400000000000000000e+01,6.177648864201022261e-05,2.024795539681708417e-02
2.500000000000000000e+01,3.695794135388624487e-05,2.040951171055020719e-02
2.600000000000000000e+01,7.645749044268351162e-05,2.172332118304136014e-02
2.700000000000000000e+01,1.004972384625604315e-04,2.151351855675730923e-02
2.800000000000000000e+01,8.938390658905100399e-05,2.180448394816873400e-02
2.900000000000000000e+01,6.458237904889115109e-05,2.222735224766474171e-02
3.000000000000000000e+01,5.743739128325818733e-05,2.125102917046866116e-02
