Epoch,Train Loss,Validation Loss
1.000000000000000000e+00,1.772818754183677278e-02,3.095830549650332650e-02
2.000000000000000000e+00,3.093992307223283108e-03,2.711025146110093015e-02
3.000000000000000000e+00,1.552007370362738520e-03,2.685151959532031812e-02
4.000000000000000000e+00,1.130117638195049469e-03,2.623456653079711889e-02
5.000000000000000000e+00,8.021748037351859439e-04,2.523782944726739308e-02
6.000000000000000000e+00,6.423157273165695661e-04,2.435545323590072517e-02
7.000000000000000000e+00,3.991416754906369421e-04,2.470521027605761602e-02
8.000000000000000000e+00,3.220760760139538908e-04,2.347395253623379280e-02
9.000000000000000000e+00,2.821798654803542371e-04,2.405944996394728322e-02
1.000000000000000000e+01,2.145739304238961250e-04,2.400196384976380562e-02
1.100000000000000000e+01,1.764353886401257650e-04,2.412689388866591164e-02
1.200000000000000000e+01,1.792633253042450836e-04,2.337476579180243139e-02
1.300000000000000000e+01,1.171638241392889746e-04,2.397592256516765941e-02
1.400000000000000000e+01,9.361353888825421025e-05,2.346128033469522395e-02
1.500000000000000000e+01,7.657831563967902361e-05,2.386743688554155904e-02
1.600000000000000000e+01,1.301355227630940977e-04,2.423520224607166040e-02
1.700000000000000000e+01,9.214943315311145699e-05,2.322258392129750854e-02
1.800000000000000000e+01,7.289650582991486145e-05,2.376645571419823064e-02
1.900000000000000000e+01,5.275281610649021330e-05,2.406582569785635159e-02
2.000000000000000000e+01,4.721585643903788754e-05,2.440678795991355760e-02
2.100000000000000000e+01,5.172000376384944752e-05,2.356911668389597217e-02
2.200000000000000000e+01,4.074945815822449943e-05,2.383643434458302540e-02
2.300000000000000000e+01,3.511213105347870273e-05,2.361630505252191106e-02
2.400000000000000000e+01,3.466581092152598830e-05,2.456356313960699617e-02
2.500000000000000000e+01,3.133039165682983154e-05,2.281150535004688312e-02
2.600000000000000000e+01,3.169536872949747027e-05,2.259186539038851582e-02
2.700000000000000000e+01,2.495976729857765788e-05,2.310628208557746407e-02
2.800000000000000000e+01,4.440417070007552486e-05,2.288520416957052356e-02
2.900000000000000000e+01,6.353079917511219210e-05,2.068508784549183063e-02
3.000000000000000000e+01,1.324741498509133543e-04,2.193765599034069175e-02
